propertyID,address,propertyType,priceAUD,priceUSD,publishedDate,lastUpdateDate,buildingSize,bedrooms,bathrooms,parkingSpaces,features,agentName,agency,agentPhone,agentEmail,description
310103426772,"[""Atenas"", "" Atenas"", "" Alajuela"", "" Atenas"", "" Alajuela Province""]",Unit,"AUD $1,226",USD $800,Published on: 11 Nov 2025,Last updated on: 13 Nov 2025,80.00 m2,1 bedroom(s),1 bathroom(s),1,"[""Outdoor swimming pool"", ""Pool"", ""Remote Garage""]",Cynthia Wunderink,Coldwell Banker - Pura Vida Paradise,+506 6043 5090,,"Acogedor y funcional apartamento ideal para una persona o pareja, ubicado en una zona tranquila y segura de Los ngeles de Atenas, a pocos minutos del centro del cantn. Disfrute de un entorno agradable con acceso a una piscina compartida y todos los servicios bsicos incluidos en la renta mensual.Caractersticas del apartamento:- Precio: C=400, 000 por mes (servicios incluidos)- Ubicado en Los ngeles de Atenas, cerca del centro- 1 habitacin, 1 bao completo- Sala y cocina de concepto abierto- Segundo piso- Sin amueblar- Piscina compartidaCondiciones:- No se aceptan mascotas- No se aceptan nios- Deposito de garantiaIdeal para quienes buscan un espacio tranquilo, privado y con excelente ubicacin en Atenas."
310103425359,"[""Commercial Space for Lease \u00e2\u20ac\u201c Corner Location"", "" High Traffic"", "" Maximum Exposure"", "" San Rafael"", "" San Jos\u00e9""]",Other,"AUD $55,526","USD $36,225",Published on: 11 Nov 2025,Last updated on: 11 Nov 2025,"1,575.00 m2",,,,,Michelle Zapata Zapata Valerio,DÃºo CR Real Estate,+506 8486 4767,,"Commercial Space for Lease Corner Location, High Traffic, Maximum Exposure Located in one of the most exclusive and high-traffic commercial areas, this corner space offers unbeatable visibility, accessibility, and growth potential for businesses looking to stand out. Key Features: Corner unit with premium exposure Total area: 1, 575 m (16, 953 sq ft) First level: 586 m (6, 307 sq ft) Second level: 1, 079 m (11, 615 sq ft) 42 parking spaces available Elevator connecting both floors Loading and unloading area Restrooms on site Ideal for retail stores, gyms, medical centers, supermarkets, banks, call centers, corporate offices, and more Lease price: $23/m + VAT A versatile, high-impact commercial space designed for large-scale operations and premium brands."
310103390700,"[""8"", "" Trinidad"", "" Moravia"", "" San Jose"", "" Moravia"", "" San Jos\u00e9""]",Unit,"AUD $1,073",USD $700,Published on: 08 Nov 2025,Last updated on: 11 Nov 2025,50.00 m2,3 bedroom(s),1 bathroom(s),1,"[""Remote Garage""]",Ingrid Picado Marchena,CENTURY 21 Grano de Oro,+506 7017 8424,,"Comfortable apartment for rent in El Roble Condominium in La Trinidad de MoraviaThe apartment is located on the second floor, in a quiet, safe, and family-friendly environment. It's ideal for couples, small families, or professionals who value comfort and order in a residential area with excellent access.Price: C=350, 000 per month + depositIncludes water and 24/7 securityProperty features:- Area: 50 m- 3 bedrooms- 1 full bathroom- Open-plan living, dining, and kitchen area- Parking for 1 vehicle- 24/7 security- Shared terrace for BBQ- 1 small pet allowedStrategically located, close to public transportation, schools, shops, services, and main roads. Quiet and family-friendly environment.Available immediatelyContact us to schedule a visit"
310103369947,"[""Centro s/n"", "" Turrialba"", "" Turrialba"", "" Cartago"", "" Turrialba"", "" Cartago Province 30501""]",Unit,AUD $460,USD $300,Published on: 07 Nov 2025,Last updated on: 11 Nov 2025,300.00 m2,,,,,Roy Solano,CENTURY 21 La Campiña,+506 8830 4140,,"?Details: 2 bedrooms, 1 bathroom, living-dining room, kitchen, and laundry room Located in the heart of Turrialba Secure building?Size: 70 m?Monthly Rent: C=150, 000 + security depositImportant: No parking space Apartment is on the second floor Not pet-friendlyContact:? 8830 4140Off. 2556 1010"
310103369856,"[""La Plaza s/n"", "" Turrialba"", "" Turrialba"", "" Cartago"", "" Turrialba"", "" Cartago Province 30501""]",House,AUD $690,USD $450,Published on: 07 Nov 2025,Last updated on: 11 Nov 2025,160.00 m2,,,,,Roy Solano,CENTURY 21 La Campiña,+506 8830 4140,,"Prime central location right across from the Public Plaza, in a safe and easily accessible area.Details: Located on the second level 3 bedrooms, 1 bathroom, living-dining area, laundry room, and a small garage Secured with metal bars Monthly rent: C=225, 000 + security depositContact:8830 4140"
310103346251,"[""Apartment For Rent in Rohrmoser"", "" Rohrmoser"", "" San Jos\u00e9""]",Apartment,"AUD $2,299","USD $1,500",Published on: 06 Nov 2025,Last updated on: 11 Nov 2025,103.00 m2,2 bedroom(s),3 bathroom(s),,"[""Indoor Furnished""]",Raquel Sandino,Vision Urbana Realty,+506 8491 9696,,"This apartment with 2 bedrooms and 3 bathrooms is located in Rohrmoser, San Jos Costa Rica, in the county of San Jos. This property with city views is situated in the rain forest of Costa Rica. The land area of this apartment is 103.00 square meter (1, 108.68 square feet), and it has a living space of 89.00 square meter (957.98 square feet). This apartment has air conditioning through a wall unit. This apartment is available furnished. This property includes a stove hood, an oven, a washing machine, a microwave, a refrigerator, a dryer and a hotplate. Pets are OK."
310103328109,"[""House For Rent in Lindora"", "" Lindora"", "" San Jos\u00e9""]",House,"AUD $6,131","USD $4,000",Published on: 05 Nov 2025,Last updated on: 11 Nov 2025,350.00 m2,5 bedroom(s),5 bathroom(s),,"[""Outdoor swimming pool"", ""Garden"", ""Pool""]",Raquel Sandino,Vision Urbana Realty,+506 8491 9696,,"This house with 5 bedrooms and 5 bathrooms is located in Lindora, San Jos Costa Rica, in the county of Santa Ana. This property with greenbelt view is situated in the rain forest of Costa Rica. The land area of this house is 350.00 square meter (3, 767.35 square feet), and it has a living space of 550.00 square meter (5, 920.13 square feet). The property also features a private pool and an above ground pool. Pets are OK."
310103328105,"[""Apartment For Rent in Rohrmoser"", "" Rohrmoser"", "" San Jos\u00e9""]",Apartment,"AUD $2,299","USD $1,500",Published on: 05 Nov 2025,Last updated on: 11 Nov 2025,103.00 m2,2 bedroom(s),3 bathroom(s),,,Raquel Sandino,Vision Urbana Realty,+506 8491 9696,,"This apartment with 2 bedrooms and 3 bathrooms is located in Rohrmoser, San Jos Costa Rica, in the county of San Jos. This property with city views is situated in this part of Costa Rica. The land area of this apartment is 103.00 square meter (1, 108.68 square feet), and it has a living space of 89.00 square meter (957.98 square feet). This apartment has air conditioning through multiple wall units. This property includes a stove hood, an oven, a washing machine, a refrigerator, a dryer and a hotplate. Pets are OK."
310103328108,"[""House For Rent in Pozos"", "" Pozos"", "" San Jos\u00e9""]",House,"AUD $3,985","USD $2,600",Published on: 05 Nov 2025,Last updated on: 11 Nov 2025,278.00 m2,3 bedroom(s),3 bathroom(s),,"[""Outdoor swimming pool"", ""Garden"", ""Pool""]",Raquel Sandino,Vision Urbana Realty,+506 8491 9696,,"This house with 3 bedrooms and 3 bathrooms is located in Pozos, San Jos Costa Rica, in the county of Santa Ana. This property with city and mountain views is situated in the rain forest of Costa Rica. The land area of this house is 278.00 square meter (2, 992.36 square feet), and it has a living space of 278.00 square meter (2, 992.36 square feet). This house has air conditioning through multiple wall units. The property also features a community pool. Pets are OK."
310103309501,"[""Loft Amueblado de 1 Habitaci\u00f3n en Avenida Escaz\u00f0: Apartment For Rent in San Rafael"", "" San Rafael"", "" San Jos\u00e9""]",Apartment,"AUD $3,832","USD $2,500",Published on: 04 Nov 2025,Last updated on: 11 Nov 2025,143.00 m2,1 bedroom(s),2 bathroom(s),,"[""Indoor Furnished"", ""Outdoor swimming pool"", ""Pool""]",Raquel Sandino,Vision Urbana Realty,+506 8491 9696,,"This apartment with one bedroom and 2 bathrooms is located in San Rafael, San Jos Costa Rica, in the county of Escaz. This property with city views is situated in the rain forest of Costa Rica. The land area of this apartment is 143.00 square meter (1, 539.23 square feet), and it has a living space of 113.00 square meter (1, 216.32 square feet). This apartment has central air condition. This apartment is available furnished. The property also features a community pool. Pets are OK."
