propertyID,address,propertyType,priceAUD,priceUSD,publishedDate,lastUpdateDate,buildingSize,bedrooms,bathrooms,parkingSpaces,features,agentName,agency,agentPhone,agentEmail,description
110103510605,"[""601 Goat Willow LN"", "" Georgetown"", "" TX 78626""]",House,"AUD $3,449","USD $2,250",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,505.86 m2,4 bedroom(s),2 bathroom(s),,,Blake Outlaw,Goodrich Realty LLC,+1 512-431-3476,,"Stunning 4BR 2Bath home offers a spacious and open floor plan perfect for modern living. Enjoy the warmth of a cozy fireplace along with the convenience of built-in shelves and media center in the main living area. The kitchen is a chef's dream, featuring ample counter space and a convenient layout. Relax on the beautiful extended patio including a pergola. Landscaped yard complete with an in-ground sprinkler system. Community pool & playground. Experience the convenience of this prime location with easy access to major highways, connecting you seamlessly to vibrant dining and shopping options in nearby Cedar Park and Leander, and the convenience of a brand new HEB just moments away."
110103510602,"[""16423 76th Road"", "" Fresh Meadows"", "" NY 11366""]",House,"AUD $8,890","USD $5,800",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,367.86 m2,3 bedroom(s),3 bathroom(s),,,Inessa Rubinov,EXP Realty,+1 888-276-0630,,"Step into this one of a kind fully renovated house located in the heart of Fresh Meadows. This house features 3-4 bedrooms, 3 full bathrooms, EIK and an over sized backyard which is great for entertaining. Centrally located to all. please call Listing agent for showings."
110103510601,"[""36 INDIA Street unit: 2B"", "" Brooklyn"", "" NY 11222""]",Apartment,"AUD $6,974","USD $4,550",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,61.87 m2,1 bedroom(s),1 bathroom(s),,,Ryan Serhant,Serhant LLC,+1 646-480-7665,,"Residence 2B - Intimate Interiors, Exceptional Outdoor Living. Set within Greenpoint's newest boutique rental building, 36 India Street, Residence 2B is a 666-square-foot one-bedroom, one-bath home that balances efficient design with extraordinary private outdoor space. The layout balances openness and intention. A spacious living area extends seamlessly to a private terrace, offering fresh air and natural light throughout the day. The chef's kitchen anchors the space with Raphael Stone quartz countertops, custom Tafisa cabinetry in Acadia Wood and Fossil Gray, LG stainless-steel smart appliances, and a direct-vented range hood-bringing true functionality to modern design. Inside, solid oak flooring, oversized double-paned windows, and custom roller shades create a grounded, contemporary tone. The bedroom fits a queen bed with room to breathe, while the spa-inspired bathroom features porcelain tile, a floating vanity, and Kohler fixtures for a quietly luxurious finish. Residents of 36 India Street enjoy amenities that are personal, not performative: a rooftop terrace with panoramic skyline views, a resident lounge with kitchenette, laundry on every floor, and a dedicated pet wash room. Indoor/outdoor parking with EV charging, bicycle storage, and private storage units are also available for an additional fee. Just one block from the East River Ferry, 36 India Street offers a human-scaled alternative to the glass towers that surround it-modern design, intelligent amenities, and the warmth of a true home in the heart of Greenpoint. Residence 2B - boutique living with condominium-level refinement."
110103510599,"[""9810 64 Avenue unit: 1G"", "" Rego Park"", "" NY 11374""]",Other,"AUD $5,518","USD $3,600",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,106.84 m2,2 bedroom(s),2 bathroom(s),,,Sonia Mirilashvila,E Z Sell Realty,+1 786-285-0888,,"Fully Renovated  Hardwood floors throughout. Additional features include , intercom doorbell system, Laundry in the basement with a recently updated washers and dryers. Parking is available for extra fee. Close to shopping, food, and public transportation (M/R 63 Drive-Rego Park Train station, Q38, Q60, QM18). ALL UTILITIES FEE INCLUDING IN THE RENT BUT A/Cs FEES."
110103510587,"[""89-35 Pontiac Street unit: 1St Fl"", "" Queens Village"", "" NY 11427""]",Apartment,"AUD $3,679","USD $2,400",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,202.34 m2,2 bedroom(s),1 bathroom(s),,,Vishnu Gopaul,Affordable Realty Corp,+1 718-468-4000,,"Lovely Spacious two bedroom Apartment with full bath and Eat in Kitchen and Living Room. Close to shops, park and school, two minutes walk to Jamaica Avenue, Five Minutes walk to Hillside Avenue. Close to a lot Restaurants. Its a must see., Additional information: Appearance:Excellent"
110103510585,"[""442 Tompkins Avenue"", "" Staten Island"", "" NY 10305""]",House,"AUD $7,664","USD $5,000",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,136.01 m2,4 bedroom(s),3 bathroom(s),,,Luis Dominguez,Island Advantage Realty LLC,+1 718-708-2629,,"**For Rent - Beautiful 4-Bedroom, 3-Bathroom Home in Staten Island** Discover your new home in one of Staten Island's most convenient and desirable locations-just blocks away from the Staten Island Ferry! This spacious and beautifully maintained residence offers 4 bedrooms and 3 full bathrooms, perfect for families or anyone seeking comfort and style. Enjoy an open-concept living and dining area with plenty of natural light, a modern kitchen with updated appliances, and generous closet space throughout. The home also features hardwood floors, in-unit laundry, and a private backyard-ideal for relaxing or entertaining guests. Located just minutes from transportation, shopping, dining, and local parks, this property combines city convenience with neighborhood charm. **Don't miss out-schedule your private tour today!**"
110103510583,"[""311 E 38th Street unit: 7-B"", "" New York (Manhattan)"", "" NY 10016""]",Apartment,"AUD $6,131","USD $4,000",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,58.62 m2,1 bedroom(s),1 bathroom(s),,,Stefani Berkin,R New York,+1 212-688-1000,,"Corner, sunny, spacious one-bedroom with a private wraparound terrace in a doorman building! This bright and comfortable corner apartment in Murray Hill feels open and inviting from the moment you walk in. The layout makes excellent use of space, offering natural light throughout the day and ample storage throughout. A large entry closet keeps things organized right as you enter. The kitchen is separate and practical, featuring ample cabinet space and ample room to cook comfortably. Next to it, the dining area flows into a sunny living room framed by oversized windows that look out onto the city. The living area opens directly to a wraparound terrace, creating a rare outdoor extension of your living space. The bedroom also receives great light, with skyline views and ample space for a complete bedroom setup. The windowed bathroom, situated just outside the bedroom, has a clean, bright feel. The Whitney is a full-service condominium designed for comfort, convenience, and style. Residents enjoy a 24-hour doorman and concierge, a well-equipped fitness center, a bike room, and a beautifully landscaped courtyard garden that offers a peaceful escape from the city. Located on East 38th Street between First and Second Avenues, The Whitney sits in a prime Murray Hill location just minutes from Grand Central, the United Nations, and some of the best restaurants, shops, and cultural spots in Midtown Manhattan. With its efficient layout, excellent lighting, and private outdoor space, this home brings a calm and comfortable energy right in the heart of Murray Hill. \* pets on a case-by-case basis"
110103510555,"[""3625 Saint Johns Court unit: 25B"", "" Wilmington"", "" NC 28403""]",Apartment,"AUD $2,299","USD $1,500",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,97.55 m2,2 bedroom(s),2 bathroom(s),,,Jill Pierce,Sold Buy the Sea Realty,+1 910-705-3229,,"Second (top) floor, 2 bedroom/2 bath condo. d. Convenient location, close to cross-city bike path, shopping and restaurants. Washer/Dryer in unit. Balcony with extra storage closet. One pet under 20 lbs allowed with fee. 1 year lease term."
110103510538,"[""4308 223rd Street unit: 2Nd Floor"", "" Bayside"", "" NY 11361""]",Other,"AUD $4,062","USD $2,650",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,352.89 m2,2 bedroom(s),1 bathroom(s),,,Emmanuel Adikimenakis,RE/MAX 1st Choice,+1 917-406-6026,,"Beautifully renovated 2 bedroom, 1 bath apartment on 2nd floor of a 2 family house. This 1100 sq ft apartment features hardwood floors in a large living/dining room area which opens p to a closed-in balcony with large windows. Kitchen has granite counter tops with stainless steel appliances. Street parking. Heat included. Tenant paid electric No pets."
110103510533,"[""153 GREEN Street unit: 3B"", "" Brooklyn"", "" NY 11222""]",Apartment,"AUD $11,496","USD $7,500",Published on: 14 Nov 2025,Last updated on: 14 Nov 2025,99.78 m2,2 bedroom(s),2 bathroom(s),,,Ryan Serhant,Serhant LLC,+1 646-480-7665,,"Situated within the vibrant landscape of Greenpoint, apartment 3B at 153 Green stands as a testament to modern design seamlessly woven into its surroundings. Step through the entrance to find a welcoming ambiance, accentuated by 7"" white oak flooring and abundant natural light pouring in through floor-to-ceiling windows. The open layout effortlessly merges the living spaces with a bespoke kitchen, complete with warm gray cabinetry, Neolith countertops, and top-of-the-line stainless steel appliances. Retreat to the privacy of the spacious bedrooms, where the primary suite boasts balcony access and panoramic views. Indulge in the luxurious bathrooms, adorned with various stone finishes, floating vanities, and premium fixtures, offering a sanctuary for relaxation. Residents of apartment 3B will appreciate the building's amenities, including an elevator, bike storage, and a breathtaking roof deck providing sweeping vistas of the city skyline. Conveniently located between Franklin Street and Manhattan Avenue, 153 Green offers easy access to nearby green spaces, public transit options, and an array of trendy dining and shopping destinations. Experience the pinnacle of contemporary urban living in apartment 3B at 153 Green. Tenant in place - 24 hour notice for access"
