num_rooms,area,age,distance_city_center,price
1,92,33,14,940122
3,107,33,37,722245
2,239,28,27,109825
4,103,29,47,618166
4,212,28,43,678070
4,152,33,36,261967
2,83,34,35,137228
3,218,38,31,107881
1,292,3,12,461552
1,68,33,37,240671
2,153,38,12,104841
4,68,17,25,320374
4,245,9,5,497460
4,103,32,14,618305
2,141,21,49,909991
1,216,21,8,317650
4,126,13,39,561202
1,165,4,42,667162
4,236,32,38,443556
1,274,24,35,549313
2,213,7,47,313822
1,275,31,19,507388
3,129,39,15,286237
1,74,8,42,793529
1,105,15,37,416672
3,53,35,8,820627
4,77,12,33,225926
4,237,23,8,355070
4,199,28,35,267585
3,208,17,9,520160
1,280,20,33,872741
2,189,10,48,735039
2,139,17,5,368769
4,203,1,16,757876
4,164,15,15,817956
3,70,22,29,372010
1,167,13,21,376111
2,266,30,12,831074
4,132,7,27,710504
2,235,8,25,230510
1,141,18,49,818304
4,223,12,14,962017
3,268,24,10,144761
1,53,38,25,490640
4,292,7,34,359753
3,58,4,24,488699
4,130,27,11,370807
3,217,8,11,214495
3,66,21,12,952434
2,112,12,28,531323
1,261,18,13,946527
1,81,33,31,766055
1,283,16,29,375506
1,185,27,7,377715
4,276,36,32,594384
4,237,39,22,464121
3,289,32,30,829204
2,272,28,39,136858
1,90,7,40,892066
3,128,30,48,115178
4,170,4,42,343158
4,105,3,17,752980
1,101,10,24,325321
3,228,35,42,665941
2,232,13,11,529682
3,121,26,33,885116
2,79,2,12,971177
4,231,15,48,902512
4,76,34,18,791181
1,114,15,36,308284
3,67,11,15,292512
4,272,21,9,849991
2,175,13,47,780303
2,145,26,16,896207
3,149,8,48,555358
3,184,36,21,106119
2,164,31,12,304804
4,112,29,44,818736
3,260,11,15,140377
3,206,35,45,845573
1,155,10,47,167878
2,156,3,35,597910
2,136,6,20,614374
4,83,39,37,100078
1,197,26,14,734855
3,187,2,5,719871
1,171,35,13,567802
4,219,35,27,724408
4,109,36,24,971807
2,114,31,38,937202
2,238,16,13,233151
4,261,33,10,221768
3,267,16,32,970551
3,134,29,11,270651
4,261,15,11,571097
4,97,15,31,892560
4,230,20,18,607411
1,74,7,44,268027
1,272,4,17,478751
4,167,5,39,862066
3,131,23,9,218071
3,242,33,20,260181
4,97,19,39,646574
1,104,27,12,961879
1,135,17,9,337381
4,145,16,42,853682
2,69,7,22,817069
2,211,36,20,307082
2,179,7,7,936884
4,253,25,43,701737
4,265,9,39,514576
3,81,19,20,706401
3,202,22,27,671503
4,78,13,31,107380
2,285,19,14,254321
3,145,32,29,725901
2,88,16,39,960352
3,135,38,10,461707
4,250,6,18,104074
1,215,13,30,853155
1,90,14,19,719555
4,121,31,43,454451
4,102,9,37,478848
4,172,37,7,980076
2,274,2,20,301793
1,223,12,42,281459
1,122,25,11,975550
2,118,13,42,355863
1,107,24,47,200919
1,125,27,39,906185
2,118,4,36,984786
3,77,22,49,775137
3,62,5,46,200889
2,243,10,44,807930
4,233,20,33,232886
4,195,31,48,438562
2,225,9,41,704200
4,266,35,19,301504
4,249,3,35,578104
2,140,17,45,923685
1,228,13,49,427060
4,214,7,46,927788
2,88,20,41,515606
2,167,11,23,965883
3,77,3,24,381222
3,77,26,42,204660
3,247,23,46,940023
4,186,2,42,477198
2,159,34,39,340127
1,276,13,15,330753
4,83,8,48,404610
1,50,2,43,147565
2,57,12,27,143663
1,236,13,11,722009
2,135,37,19,710062
3,219,19,21,797735
4,87,19,19,261442
3,127,37,40,995639
2,204,12,10,832294
1,140,11,46,717982
1,183,4,36,352859
3,220,35,44,613180
1,200,19,11,110733
4,103,35,28,652420
1,246,13,16,664876
1,163,31,7,734172
4,248,27,49,125783
2,217,20,17,998913
1,263,2,15,260640
4,171,15,38,799941
1,267,23,35,773715
3,177,4,38,865009
4,114,23,27,270641
4,291,6,40,392249
1,134,37,24,452761
2,77,4,19,693862
2,147,28,28,721631
4,88,19,10,863766
1,169,3,49,744856
4,180,22,17,989428
3,162,21,45,507107
3,275,16,21,137649
4,129,7,27,502287
3,247,3,20,671131
1,260,25,27,797915
3,145,39,12,393487
4,97,19,41,715197
2,265,36,25,927639
3,247,32,13,152928
3,199,11,23,467570
4,261,1,9,229479
3,139,32,21,136020
1,146,31,39,552544
1,103,11,31,383200
4,293,17,44,161897
2,55,9,7,435912
2,137,2,40,681507
4,111,33,36,549473
4,89,28,14,128527
4,224,3,39,566638
1,212,2,28,247391
1,274,25,31,112021
3,122,21,32,274793
3,113,4,6,458078
2,264,3,27,171058
2,284,8,40,843540
1,180,24,28,116632
3,185,10,28,446050
1,191,38,41,588172
4,192,11,46,311555
2,103,14,11,756636
1,145,10,49,722414
2,53,13,15,769297
1,198,6,15,164927
2,62,10,9,364139
3,63,28,22,529925
4,202,25,6,293240
3,210,17,27,394572
1,77,17,7,947367
3,178,2,20,295495
3,138,4,16,959941
3,146,4,21,143798
2,248,13,23,953194
1,171,8,7,531884
1,155,3,11,956982
3,63,29,16,333546
3,52,24,23,645275
1,143,9,26,664838
4,191,5,25,537622
3,68,11,37,827744
3,295,38,42,550007
1,192,11,46,913361
1,102,31,44,387628
3,154,9,35,374120
1,164,3,8,769210
3,177,15,26,676463
3,118,33,7,557379
3,153,30,38,881670
3,74,25,25,158544
2,138,9,19,245480
4,121,20,24,573678
2,104,37,17,424499
4,63,31,47,740856
4,208,21,43,460604
4,195,3,36,943520
1,146,37,49,205632
4,268,1,30,278522
3,113,37,43,527687
1,241,25,44,546785
2,144,36,19,801943
3,212,28,31,263267
3,156,11,25,656314
1,53,23,32,388279
4,109,30,38,338865
3,295,37,18,212370
4,216,26,7,476358
1,123,28,13,973456
3,102,30,42,188931
3,159,24,37,630649
4,122,38,24,711699
